a,啊嗄阿
ai,伌僾凒叆哀哎唉啀嗌嗳嘊噯埃塧壒娭娾嫒嬡愛懓懝挨捱爱癌矮
an,侒俺儑唵啽垵埯堓婩媕安岸峖庵按揞暗案鞍
ang,卬岇昂肮
ao,傲凹厫嗷嗸坳垇墺奡奥奧媪媼嫯岙岰嶅嶴廒慠懊扷抝拗澳熬袄
ba,丷仈八叐叭吧哵坝坺垻墢壩夿妭岜峇巴巼弝扒把抜拔捌爸疤罢霸
bai,佰庍拜拝挀捭掰摆柏白百败
ban,伴办半坂坢姅岅怑扮扳拌搬斑板版般
bang,傍垹塝帮幇幚幫捠棒榜绑膀
bao,佨保儤勹勽包堡堢報媬嫑孢宝宲寚寳寶忁怉报抱暴爆胞薄饱
bei,俻倍偝偹備僃北卑呗唄备孛悖悲惫愂憊揹杯碑背被贝辈
ben,倴坋坌奔奙捹本笨
beng,伻傰嘣埄埲塴奟崩嵭揼泵蹦
bi,佊佖俾偪匕吡哔啚嗶坒堛壁夶奰妣妼婢嬖嬶屄币幣幤庇庳廦弊弻弼彃彼必怭怶愊愎比毕碧笔臂蔽逼避闭鼻
bian,便匾卞变変峅弁徧忭惼扁抃揙编辩边遍鞭
biao,俵儦墂婊幖彪标表飙
bie,別别咇彆徶憋瘪鳖
bin,傧儐宾彬滨鬓
bing,丙並仌仒併倂偋傡兵冫冰垪寎并幷庰怲抦掤柄病饼
bo,亳仢伯侼僠僰剝剥勃博卜哱啵嚗孹嶓帗帛愽懪拨挬播波玻脖菠驳
bu,不佈勏卟吥咘哺喸埗埠峬布庯廍怖悑抪捕捗步补部
ca,嚓囃擦
cai,倸偲啋埰婇寀彩才採材猜菜裁财踩采
can,傪儏参參叄叅喰嬠孱惨惭慘慙慚憯掺残灿蚕餐
cang,仓仺伧倉傖嵢舱苍藏
cao,嘈嶆愺懆操曹槽草
ce,侧側冊册厕厠墄廁恻惻憡拺测策
cen,岑嵾
ceng,噌层層嶒曾蹭
cha,侘偛叉嗏垞奼姹察岔嵖差扠挿插揷查茶
chai,侪儕喍囆拆柴豺
chan,丳产僝儃儳冁刬剗剷劖啴嘽嚵囅壥婵嬋嵼巉幝幨廛忏懴懺搀禅缠铲阐颤馋
chang,仧仩伥倀倡偿僘償兏厂厰唱嘗嚐场場塲娼嫦尝常廠徜怅悵惝敞昌畅肠
chao,仦仯勦吵嘲巐巢巣弨怊抄朝潮炒超
che,伡俥偖勶唓坼屮彻徹扯掣撤车
chen,儭嗔嚫塵墋夦宸尘忱愖抻捵揨晨沉臣衬辰陈
cheng,丞乗乘侱偁僜呈城埕堘塍塖娍宬峸庱徎悜惩憆憕懲成承挰掁撑橙秤称程诚
chi,侈侙傺勅勑卶叱叺吃呎哧啻喫嗤噄坻垑墀妛媸尺岻弛彨彲彳恜恥慗憏懘抶持斥池翅耻赤迟驰齿
chong,充冲嘃埫宠寵崇崈徸忡憃憧揰虫
chou,丑丒仇侴俦偢儔吜嚋婤嬦帱幬怞惆愁懤抽搊筹臭酬
chu,亍俶傗储儊儲処出刍初厨嘼埱处媰岀幮廚怵憷拀楚畜础触锄除
chuai,啜嘬揣搋
chuan,串传傳僢剶喘圌巛川穿船
chuang,傸凔刅创刱剏剙創噇幢床怆愴窗闯
chui,倕吹垂埀捶锤
chun,偆唇堾媋惷春纯蠢醇
chuo,嚽娕娖婥婼惙戳
ci,伺佌佽偨刺刾呲垐堲嬨庛慈次此瓷磁茨词赐辞雌
cong,丛从匆叢囪囱婃孮従徖從忩怱悤悰慒憁聪葱
cou,凑
cu,促噈媨徂憱粗醋
cuan,巑窜篡
cui,乼伜倅催凗啐啛墔崔嶉忰悴慛摧翠脆
cun,侟刌吋存寸忖拵村
cuo,剉剒厝夎嵯嵳挫措搓错
da,亣剳匒呾咑哒嗒噠垯墶大妲怛打搭答达
dai,代侢傣叇呆呔垈埭岱帒带帯帶廗待怠懛戴歹袋贷逮
dan,丹亶伔但僤儋刐勯匰单単啖啗啿單嘾噉嚪妉媅帎弹弾彈惮憚憺抌担掸氮淡胆蛋诞
dang,儅党凼噹圵垱壋婸宕嵣当愓挡档荡
dao,倒刀刂到叨噵壔导導岛島嶋嶌嶹忉悼捣捯盗稻道
de,嘚得徳德恴悳惪的
den,扥扽
deng,凳噔墱嬁嶝戥灯登瞪等邓
di,仾低俤偙僀厎呧唙啇啲嘀嚁地坔坘埊埞堤墑墬奃娣媂嫡嶳帝底廸弟弤彽怟慸抵拞掋敌滴笛第递
dian,佃傎典厧嚸坫垫墊壂奌奠婝婰嵮巅巓巔店惦扂掂殿点电甸癫颠
diao,伄凋刁刟叼吊奝屌弔弴彫扚掉调钓雕
die,叠哋喋嗲垤堞峌嵽幉恎惵戜挕揲爹碟蝶谍跌
ding,丁仃叮啶奵定嵿帄忊盯订钉顶
diu,丟丢
dong,东侗倲働冬冻凍动動咚垌埬墥姛娻嬞岽峒崠崬徚恫懂戙挏栋洞董
dou,乧兜兠吺唗唞抖斗痘豆逗都陡
du,凟剢匵厾嘟堵妒妬嬻帾度杜毒渡独督肚读赌
duan,偳剬塅媏断段短端锻
dui,兊兌兑垖堆塠对対對嵟怼憝憞懟队
dun,伅吨噸囤墩墪庉惇敦盾蹲顿
duo,亸凙刴剁剟剫咄哆哚喥嚉嚲垛垜埵堕墮墯多夛夺奪奲尮崜嶞惰憜挅挆掇朵舵跺躲
e,俄偔僫匎卾厄吪呃呝咢咹噁噩囮垩堊堮妸妿姶娥娿婀屙屵岋峉峨峩崿廅恶悪惡愕戹扼蛾讹额饿鹅
en,奀峎恩
er,二佴侕儿児兒刵厼咡唲尒尓尔峏弍弐而耳
